"Date (UTC)","Request ID","Correlation ID","User ID","User","Username","User type","Cross tenant access type","Incoming token type","Authentication Protocol","Unique token identifier","Client credential type","Application","Application ID ","Resource","Resource ID ","Resource tenant ID","Home tenant ID","Home tenant name","IP address","Location","Status","Sign-in error code","Failure reason","Client app","Device ID","Browser","Operating System","Compliant","Managed","Join Type","Multifactor authentication result","Multifactor authentication auth method","Multifactor authentication auth detail","Authentication requirement","Sign-in identifier","IP address (seen by resource)","Autonomous system  number","Flagged for review","Token issuer type","Incoming token type","Token issuer name","Latency","Conditional Access"
"YYYY-MM-DD3T17:54:16Z","b9ce839c-bd95-41b4-85a1-bea91952c400","f4c77deb-b6c4-4376-8f89-189bdf464bbe","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","nIPOuZW9tEGFob6pGVLEAA","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","89","Not Applied"
"YYYY-MM-DD3T17:54:16Z","2720691b-af58-4c6a-8786-2b095f0e1900","6cb8724d-97e2-4a91-9b0b-09069c4fc6a4","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","G2kgJ1ivakyHhisJXw4ZAA","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","56","Not Applied"
"YYYY-MM-DD3T17:54:16Z","d67ab380-c4b6-425f-8139-94c27a09d700","37703d83-9070-4361-aeb0-99454731c365","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","gLN61rbEX0KBOZTCegnXAA","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Office365 Shell WCSS-Server","5f09333a-842c-47da-a157-57da27fcbca5","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","60","Not Applied"
"YYYY-MM-DD3T17:54:09Z","f56ddfdc-1738-4c00-9141-bdba0177ae00","322dbc51-d38a-72b7-5296-e6b84c1b06a1","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","3N9t9TgXAEyRQb26AXeuAA","none","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","96","Not Applied"
"YYYY-MM-DD3T17:54:08Z","07991a15-726b-40d3-abbc-c530127baf00","a752c24d-8428-457e-9227-5ce6202271a1","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","FRqZB2ty00CrvMUwEnuvAA","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","81","Not Applied"
"YYYY-MM-DD3T17:54:08Z","9757539c-0979-4933-a69c-c5553f1ef300","ade25a14-f883-48fb-b927-aea171d7f310","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","nFNXl3kJM0mmnMVVPx7zAA","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Office365 Shell WCSS-Server","5f09333a-842c-47da-a157-57da27fcbca5","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","51","Not Applied"
"YYYY-MM-DD3T17:54:07Z","c4558372-4797-4ea2-8780-0246fcb01c00","2425d8d5-73ba-449e-8b47-cabb90adbc4f","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","coNVxJdHok6HgAJG_LAcAA","none","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","50","Not Applied"
"YYYY-MM-DD3T17:54:02Z","7d839f88-5cf6-4df0-8574-17d849e50000","baec4e90-fd00-4eb8-8fac-e45c57332437","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","iJ-DffZc8E2FdBfYSeUAAA","none","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","42","Not Applied"
"YYYY-MM-DD3T17:53:55Z","efe4a70b-d0ee-4013-9b36-e735b1ed0101","333a718a-9f18-460c-af71-1c83849421cc","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","C6fk7-7QE0CbNuc1se0BAQ","none","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","","14061","false","Azure AD","None","","81","Not Applied"
"YYYY-MM-DD3T17:53:51Z","57a36a90-d2ac-452e-8ab7-7d3dee80a500","333a718a-9f18-460c-af71-1c83849421cc","3a1a83cd-d2a0-4ff8-9dca-bb780b98cd85","Paul Bowman","paul.bowman@infotekexpress.onmicrosoft.com","member","none","none","none","kGqjV6zSLkWKt3097oClAA","none","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","ff2c1180-513c-41b6-9be2-525e6863989d","ff2c1180-513c-41b6-9be2-525e6863989d","","137.184.112.155","San Jose, California, US","Success","","Other.","Browser","","Firefox 114.0","Linux","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","paul.bowman@infotekexpress.onmicrosoft.com","","14061","false","Azure AD","None","","100","Not Applied"
